EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_NO_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_NO_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_NO_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_COMP_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.WORKOVERS_WITHOUT_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_WITH_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_FLARING
Chief Oil & Gas LLC (160A),1009485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - SUSQUEHANNA  PA (115) - Shale gas,,,,,,,Yes,7,.465,1,3.082
Basin 160A - Appalachia,1010350,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,,,,,,,Yes,4,.383,0,0
Chevron 160A Appalachian Basin,1009098,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WASHINGTON  PA (125) - Shale gas,,,,,,,Yes,20,1.277,0,0
Chevron 160A Appalachian Basin,1009098,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WESTMORELAND  PA (129) - Shale gas,,,,,,,Yes,26,1.544,0,0
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WYOMING  PA (131) - Shale gas,,,,,,,Yes,2,.116,0,0
Warren E&P  Inc.,1011616,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WYOMING  PA (131) - Shale gas,,,,,,,Yes,6,.35,0,0
Chief Oil & Gas LLC (160A),1009485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - WYOMING  PA (131) - Shale gas,,,,,,,Yes,8,.465,0,0
Saga Petroleum 160A Appalachian Basin Eastern Overthrust Area,1011295,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BIBB  AL (7) - Coal seam,,,,,,,Yes,27,.08,0,0
EQT Production  LLC - Basin 160A - Appalachian Eastern Overthrust,1010233,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - GILMER  WV (21) - Other tight reservoir rock,,,,,,,Yes,1,.047,0,0
EQT Production  LLC - Basin 160A - Appalachian Eastern Overthrust,1010233,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - HARRISON  WV (33) - Other tight reservoir rock,,,,,,,Yes,11,.58,0,0
EQT Production  LLC - Basin 160A - Appalachian Eastern Overthrust,1010233,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LETCHER  KY (133) - Other tight reservoir rock,,,,,,,Yes,2,.089,0,0
Trinity Rivery Energy Operating  LLC 210 MidGulf Coast Basin,1012028,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],210 - COVINGTON  MS (31) - Other tight reservoir rock,,,,,,,Yes,2,2.813,0,0
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - JEFFERSON  OH (81) - Shale gas,,,,,,,Yes,4,.227,0,0
Appalachian Basin - AAPG Province 160A,1008937,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LYCOMING  PA (81) - Shale gas,,,,,,,Yes,3,.18,3,0
Chief Oil & Gas LLC (160A),1009485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LYCOMING  PA (81) - Shale gas,,,,,,,Yes,1,.175,2,.083
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - LYCOMING  PA (81) - Shale gas,,,,,,,Yes,36,2.1,0,0
Basin 160A - Appalachia,1010350,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MARSHALL  WV (51) - Shale gas,,,,,,,Yes,3,.143,0,0
Chevron 160A Appalachian Basin,1009098,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - MARSHALL  WV (51) - Shale gas,,,,,,,Yes,15,2.53,0,0
Denbury Onshore LLC 210 Mid-Gulf Coast,1008942,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],210 - JASPER  MS (61) - Other tight reservoir rock,,,,,,,Yes,1,.044,0,0
Trinity Rivery Energy Operating  LLC 210 MidGulf Coast Basin,1012028,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],210 - SIMPSON  MS (127) - Other tight reservoir rock,,,,,,,Yes,5,6.493,0,0
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Oil,,,,,,,Yes,2,.085,0,0
Halcon Resources Corporation 220 Gulf Coast Basin,1010367,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - FAYETTE  TX (149) - Oil,,,,,,,Yes,3,.139,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ATASCOSA  TX (13) - Shale gas,,,,,,,Yes,6,.293,0,0
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - BEE  TX (25) - Shale gas,,,,,,,Yes,2,.091,0,0
Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),1008293,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Shale gas,,,,,,,Yes,1,.044,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Shale gas,,,,,,,Yes,42,2.048,0,0
Rosetta Resources 220 Gulf Coast Basin,1010084,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DE WITT  TX (123) - Shale gas,,,,,,,Yes,5,.216,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,,,,,,,Yes,145,6.36,145,0
Rosetta Resources 220 Gulf Coast Basin,1010084,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,,,,,,,Yes,7,.309,0,0
SM Energy (Basin 220) South Texas,1009624,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - DIMMIT  TX (127) - Shale gas,,,,,,,Yes,22,1.01,0,0
Rosetta Resources 220 Gulf Coast Basin,1010084,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - GONZALES  TX (177) - Shale gas,,,,,,,Yes,2,.086,0,0
Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),1008293,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KARNES  TX (255) - Shale gas,,,,,,,Yes,106,4.872,0,0
BPX Energy Petrohawk Gulf Coast Basin  AAPG Basin 220,1008630,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KARNES  TX (255) - Shale gas,,,,,,,Yes,30,1.309,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KARNES  TX (255) - Shale gas,,,,,,,Yes,61,2.975,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LA SALLE  TX (283) - Shale gas,,,,,,,Yes,5,.23,5,0
BPX Energy Petrohawk Gulf Coast Basin  AAPG Basin 220,1008630,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LA SALLE  TX (283) - Shale gas,,,,,,,Yes,6,.288,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LA SALLE  TX (283) - Shale gas,,,,,,,Yes,14,.683,0,0
Rosetta Resources 220 Gulf Coast Basin,1010084,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LA SALLE  TX (283) - Shale gas,,,,,,,Yes,8,.35,0,0
Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),1008293,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LIVE OAK  TX (297) - Shale gas,,,,,,,Yes,14,.612,0,0
BPX Energy Petrohawk Gulf Coast Basin  AAPG Basin 220,1008630,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LIVE OAK  TX (297) - Shale gas,,,,,,,Yes,7,.322,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LIVE OAK  TX (297) - Shale gas,,,,,,,Yes,44,2.146,0,0
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LIVE OAK  TX (297) - Shale gas,,,,,,,Yes,2,.085,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - MAVERICK  TX (323) - Shale gas,,,,,,,Yes,6,.28,6,0
BPX Energy Petrohawk Gulf Coast Basin  AAPG Basin 220,1008630,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - MC MULLEN  TX (311) - Shale gas,,,,,,,Yes,24,1.122,0,0
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WEBB  TX (479) - Shale gas,,,,,,,Yes,10,.35,10,0
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WEBB  TX (479) - Shale gas,,,,,,,Yes,1,.053,0,0
Rosetta Resources 220 Gulf Coast Basin,1010084,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WEBB  TX (479) - Shale gas,,,,,,,Yes,33,1.505,0,0
SM Energy (Basin 220) South Texas,1009624,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WEBB  TX (479) - Shale gas,,,,,,,Yes,226,10.66,0,0
Enervest Operating  L.L.C. 220 Gulf Coast Basin,1009657,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - FAYETTE  TX (149) - Other tight reservoir rock,,,,,,,Yes,91,4.306,0,0
Halcon Resources Corporation 220 Gulf Coast Basin,1010367,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - GRIMES  TX (185) - Other tight reservoir rock,,,,,,,Yes,5,.231,0,0
Enervest Operating  L.L.C. 220 Gulf Coast Basin,1009657,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - GRIMES  TX (185) - Other tight reservoir rock,,,,,,,Yes,8,.356,0,0
Unit Petroleum 166 Golf Coast,1008242,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - HARDIN  TX (199) - Other tight reservoir rock,,,,,,,Yes,15,.797,0,0
Halcon Resources Corporation 220 Gulf Coast Basin,1010367,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - JASPER  TX (241) - Other tight reservoir rock,,,,,,,Yes,9,.416,0,0
Enervest Operating  L.L.C. 220 Gulf Coast Basin,1009657,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LEE  TX (287) - Other tight reservoir rock,,,,,,,Yes,35,1.293,0,0
Pioneer Natural Resources USA  Inc.  Gulf Coast Basin,1008604,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LIVE OAK  TX (297) - Other tight reservoir rock,,,,,,,Yes,1,.049,0,0
Halcon Resources Corporation 220 Gulf Coast Basin,1010367,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - MONTGOMERY  TX (339) - Other tight reservoir rock,,,,,,,Yes,1,.046,0,0
Halcon Resources Corporation 220 Gulf Coast Basin,1010367,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - NEWTON  TX (351) - Other tight reservoir rock,,,,,,,Yes,2,.093,0,0
Unit Petroleum 166 Golf Coast,1008242,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - POLK  TX (373) - Other tight reservoir rock,,,,,,,Yes,47,2.522,0,0
SM Energy (Basin 220) South Texas,1009624,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - SAN JACINTO  TX (407) - Other tight reservoir rock,,,,,,,Yes,1,.04,0,0
Trinity River Energy Operating  LLC 220 Gulf Coast Basin,1009609,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - STARR  TX (427) - Other tight reservoir rock,,,,,,,Yes,1,.049,0,0
Unit Petroleum 166 Golf Coast,1008242,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - TYLER  TX (457) - Other tight reservoir rock,,,,,,,Yes,17,.858,0,0
SM Energy (Basin 220) South Texas,1009624,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WALKER  TX (471) - Other tight reservoir rock,,,,,,,Yes,4,.18,0,0
Halcon Resources Corporation 220 Gulf Coast Basin,1010367,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WASHINGTON  TX (477) - Other tight reservoir rock,,,,,,,Yes,5,.231,0,0
Enervest Operating  L.L.C. 220 Gulf Coast Basin,1009657,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WASHINGTON  TX (477) - Other tight reservoir rock,,,,,,,Yes,27,1.228,0,0
Trinity River Energy Operating  LLC 220 Gulf Coast Basin,1009609,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - WEBB  TX (479) - Other tight reservoir rock,,,,,,,Yes,1,.052,0,0
Comstock Resources  Inc. - Basin 220,1009906,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ZAPATA  TX (505) - Other tight reservoir rock,,,,,,,Yes,1,.05,0,0
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KARNES  TX (255) - Oil,,,,,,,Yes,3,.127,0,0
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LA SALLE  TX (283) - Oil,,,,,,,No,0,.013,12,.013
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LIVE OAK  TX (297) - Oil,,,,,,,Yes,2,.086,0,0
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - MC MULLEN  TX (311) - Oil,,,,,,,Yes,1,.039,0,0
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - BROOKS  TX (47) - High permeability gas,,,,,,,Yes,2,.11,0,0
Merit Energy Co. South Texas 220 Gulf Coast Basin,1000435,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - BROOKS  TX (47) - High permeability gas,,,,,,,Yes,0,0,0,0
Saga Petroleum 200 Warrior Basin,1011297,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],200 - TUSCALOOSA  AL (125) - Coal seam,,,,,,,No,0,0,30,.3
Tellus Operating Group  LLC - MS Operations,1008885,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],210 - LAMAR  MS (73) - High permeability gas,,,,,,,Yes,25,.232,0,0
Tellus Operating Group  LLC - MS Operations,1008885,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],210 - SMITH  MS (129) - High permeability gas,,,,,,,Yes,19,.285,0,0
Samson Exploration 220 Gulf Coast Basin,1008093,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - CHAMBERS  TX (71) - High Permeability Gas,,,,,,,Yes,2,.107,1,.127
Samson Exploration 220 Gulf Coast Basin,1008093,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - JEFFERSON  TX (245) - High Permeability Gas,,,,,,,Yes,2,.097,1,.074
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - JIM WELLS  TX (249) - High permeability gas,,,,,,,Yes,1,.055,0,0
Riviera Resources 220 Gulf Coast Basin Production Segment,1011421,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - JIM WELLS  TX (249) - High permeability gas,,,,,,,Yes,1,.055,0,0
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KENEDY  TX (261) - High permeability gas,,,,,,,Yes,2,.113,0,0
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - KLEBERG  TX (273) - High permeability gas,,,,,,,Yes,4,.211,0,0
XTO Energy Inc 220 Gulf Coast,1009386,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - LAVACA  TX (285) - High permeability gas,,,,,,,Yes,1,.05,0,0
Denbury Onshore LLC 220 Gulf Coast,1008123,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - MONTGOMERY  TX (339) - High permeability gas,,,,,,,Yes,8,.448,0,0
Riviera Resources 220 Gulf Coast Basin Production Segment,1011421,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - MONTGOMERY  TX (339) - High permeability gas,,,,,,,Yes,2,.099,0,0
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - NUECES  TX (355) - High permeability gas,,,,,,,Yes,2,.1,0,0
Riviera Resources 220 Gulf Coast Basin Production Segment,1011421,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - NUECES  TX (355) - High permeability gas,,,,,,,Yes,3,.16,0,0
EOG Resources  Inc.220 Gulf Coast basin,1008219,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],220 - SAN PATRICIO  TX (409) - High permeability gas,,,,,,,Yes,10,.517,1,.001
Nadel and Gussman Ruston Arkla Basin No. 230,1009686,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - CADDO  LA (17) - Oil,,,,,,,Yes,2,.107,0,0
Mission Creek OpCo  LLC - Arkla Basin,1010318,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - COLUMBIA  AR (27) - Oil,,,,,,,Yes,268,11.363,0,0
White Rock Oil & Gas LLC - 230 ArkLa,1012060,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - COLUMBIA  AR (27) - Oil,,,,,,,Yes,2,.064,0,0
Mission Creek OpCo  LLC - Arkla Basin,1010318,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - LAFAYETTE  AR (73) - Oil,,,,,,,Yes,38,1.611,0,0
Comstock Resources  Inc. - Basin 230,1009890,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - CALDWELL  LA (21) - High permeability gas,,,,,,,Yes,1,.053,0,0
Comstock Resources  Inc. - Basin 230,1009890,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - DE SOTO  LA (31) - High permeability gas,,,,,,,Yes,1,.056,0,0
Compass Production Partners  LP - Arkla Basin #230,1011194,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - JACKSON  LA (49) - High permeability gas,,,,,,,Yes,89,5.074,0,0
230 Arkla Basin QEP Energy Company,1009283,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - WEBSTER  LA (119) - High permeability gas,,,,,,,Yes,1,.057,0,0
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - BIENVILLE  LA (13) - Shale gas,,,,,,,Yes,9,.518,0,0
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - BOSSIER  LA (15) - Shale gas,,,,,,,Yes,15,.86,0,0
Arkla Basin - AAPG Province 230,1008257,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - BOSSIER  LA (15) - Shale gas,,,,,,,Yes,2,.08,2,0
EXCO Resources  Inc. - Arkla Basin #230,1008957,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - CADDO  LA (17) - Shale gas,,,,,,,Yes,1,.058,0,0
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - CADDO  LA (17) - Shale gas,,,,,,,Yes,26,1.484,0,0
Samson Resources 230 Arkla Basin,1008341,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - DE SOTO  LA (31) - Shale gas,,,,,,,Yes,2,.1,0,0
EXCO Resources  Inc. - Arkla Basin #230,1008957,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - DE SOTO  LA (31) - Shale gas,,,,,,,Yes,11,.635,0,0
EP Energy E&P 230 Arkla basin,1008155,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - DE SOTO  LA (31) - Shale gas,,,,,,,No,0,.076,19,.021
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table H.3,Gas well workovers WITHOUT hydraulic fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],230 - DE SOTO  LA (31) - Shale gas,,,,,,,Yes,23,1.317,0,0
